Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""http://www.fs.fed.us/woodybiomass/"">U.S. Forest Service Woody Biomass Utilization Program</a></strong></br>The Woody Biomass Utilization Team is an interdisciplinary team that promotes and facilitates the planning and delivery of an integrated, interdisciplinary approach to the recovery and utilization of woody biomass from ecological restoration and hazardous fuels reduction work as a result of the National Fire Plan’s 10-Year Comprehensive Strategy, the Healthy Forests Initiative, and the Healthy Forest Restoration Act.</br>WEBPAGES",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Renewable Power; Strategic Energy Planning,Webpages
"<strong><a href=""/node/374311"">Geothermal Heat Pumps</a></strong></br>Basic information on geothermal heat pumps.</br>WEBPAGES",Design and Implement Energy Programs,Energy Management; Renewable Power,Webpages
"<strong><a href=""http://www.afdc.energy.gov/fuels/biodiesel.html"">Alternative Fuels Data Center: Biodiesel</a></strong></br>Information on biodiesel including basics, benefits and considerations, stations, vehicles, and laws and incentives.</br>WEBPAGES",Design and Implement Energy Programs,Renewable Power,Webpages
"<strong><a href=""http://www.nrel.gov/esi/"">Energy Systems Integration</a></strong></br>Learn how the National Renewable Energy Laboratory's energy systems integration activities are working to effectively, reliably, and economically integrate more renewable energy into the grid.</br>WEBPAGES",Design and Implement Energy Programs,Strategic Energy Planning; Utilities,Webpages
"<strong><a href=""http://www.energy.ca.gov/reports/efficiency_handbooks/"">California Energy Commission-Energy Efficiency: Handbooks for Energy Efficiency</a></strong></br>Handbooks for energy efficiency.</br>WEBPAGES",Design and Implement Energy Programs,Renewable Power,Webpages
"<strong><a href=""/node/1397726"">Outdoor Lighting</a></strong></br>Outdoor lighting consumes a significant amount of energy, about 1.3 quadrillion Btu annually, costing about $10 billion per year. DOE has developed tools and resources to assist public and private organizations through the following efforts.</br>WEBPAGES",Design and Implement Energy Programs,Strategic Energy Planning,Webpages
"<strong><a href=""/node/920011"">State, Local, and Tribal Technical Assistance Gateway</a></strong></br>The State, Local and Tribal Technical Assistance Gateway provides an access point to DOE’s technical assistance and cooperative activities with state, local, and tribal officials.</br>WEBPAGES",Design and Implement Energy Programs; Pay for Energy Initiatives; Develop an Energy Plan; Access and Use Energy Data,Strategic Energy Planning,Webpages
"<strong><a href=""/node/3686485"">Top 9 Reasons to Update to a Newer Energy Code</a></strong><br>This informational overview from the Southwest Energy Efficiency Project (SWEEP) outlines the benefits of regularly updating building energy codes, including improved code language and compliance, greater access to training and software, more feasible updates, and increased consistency for builders, among others.<br>RESOURCE SUMMARIES",Develop an Energy Plan,Strategic Energy Planning,Resource Summaries
"<strong><a href=""/node/1591756"">How Energy Efficiency Programs Can Support State Climate and Energy Planning</a></strong><br>Provides an overview of seven energy efficiency program types that offer large savings opportunities, including building energy codes, city-led efficiency programs, combined heat and power, energy savings performance contracting, industrial energy efficiency, low income energy efficiency, and ratepayer-funded energy efficiency. <br>PRESENTATIONS",Develop an Energy Plan; Design and Implement Energy Programs,"Energy Audits/Retrofits; Evaluation, Measurement, and Verification; Strategic Energy Planning",Presentations
"<strong><a href=""/node/1577126"">How Building Energy Codes Can Support State Climate and Energy Planning </a></strong><br>Provides states and their stakeholders with a short synopsis for what it would look like to include building energy codes in their climate and energy plans, including current activity at the national and state levels, best practices, energy savings examples, cost-effectiveness, EM&V and DOE support.<br>PRESENTATIONS",Develop an Energy Plan; Design and Implement Energy Programs,"Energy Audits/Retrofits; Evaluation, Measurement, and Verification; Strategic Energy Planning",Presentations
"<strong><a href=""/node/1577121"">How City-Led Energy Efficiency Efforts Can Support State Climate and Energy Planning </a></strong><br>Provides states and their stakeholders with a short synopsis for what it would look like to include city-led energy efficiency efforts in their climate and energy plans, including current activity at the national and state levels, best practices, energy savings examples, cost-effectiveness, EM&V and DOE support.<br>PRESENTATIONS",Develop an Energy Plan; Design and Implement Energy Programs,"Energy Audits/Retrofits; Evaluation, Measurement, and Verification; Strategic Energy Planning",Presentations
"<strong><a href=""/node/1577116"">How Combined Heat and Power Can Support State Climate and Energy Planning</a></strong><br>Provides states and their stakeholders with a short synopsis for what it would look like to include combined heat and power in their climate and energy plans, including current activity at the national and state levels, best practices, energy savings examples, cost-effectiveness, EM&V and DOE support.<br>PRESENTATIONS",Develop an Energy Plan; Design and Implement Energy Programs,Distributed Generation; Energy Efficiency Resource Standard and Renewable Portfolio Standard; Strategic Energy Planning; Utilities,Presentations
"<strong><a href=""/node/1577366"">How Energy Savings Performance Contracting Can Support State Climate and Energy Planning </a></strong><br>Provides states and their stakeholders with a short synopsis for what it would look like to include energy savings performance contracting in their climate and energy plans, including current activity at the national and state levels, best practices, energy savings examples, cost-effectiveness, EM&V and DOE support. <br>PRESENTATIONS",Develop an Energy Plan; Design and Implement Energy Programs,"Energy Efficiency Resource Standard and Renewable Portfolio Standard; Financing: Energy Savings Performance Contracting; Evaluation, Measurement, and Verification; Financing; Strategic Energy Planning; Utilities",Presentations
"<strong><a href=""/node/1591871"">How Industrial Energy Efficiency Can Support State Climate and Energy Planning</a></strong><br>Provides states and their stakeholders with a short synopsis for what it would look like to include industrial energy efficiency in their climate and energy plans, including current activity at the national and state levels, best practices, energy savings examples, cost-effectiveness, EM&V and DOE support. <br>PRESENTATIONS",Develop an Energy Plan; Design and Implement Energy Programs,"Energy Efficiency Resource Standard and Renewable Portfolio Standard; Energy Audits/Retrofits; Energy Management; Financing: Energy Savings Performance Contracting; Evaluation, Measurement, and Verification; Financing; Strategic Energy Planning; Utilities",Presentations
